年月,港口別,Total,國輪合計,外輪合計,進港合計,進港國輪,進港外輪,出港合計,出港國輪,出港外輪
200312,國際商港,22305497,7033785,15271712,15561570,4072622,11488948,6743927,2961163,3782764
200312,高雄港,13047776,3841817,9205959,9141810,2325725,6816085,3905966,1516092,2389874
200312,臺中港,3593506,977488,2616018,2978388,912741,2065647,615118,64747,550371
200312,基隆港,2947015,733867,2213148,2312525,674608,1637917,634490,59259,575231
200312,花蓮港,1860323,1307208,553115,390897,39431,351466,1469426,1267777,201649
200312,蘇澳港,517735,114936,402799,406263,64736,341527,111472,50200,61272
200312,安平港,339142,58469,280673,331687,55381,276306,7455,3088,4367
200312,臺北港,0,0,0,0,0,0,0,0,0
200401,國際商港,19889177,7045245,12843932,13758364,4319455,9438909,6130813,2725790,3405023
200401,高雄港,10953111,3104379,7848732,7559007,1884840,5674167,3394104,1219539,2174565
200401,臺中港,3610355,1064031,2546324,3033980,999623,2034357,576375,64408,511967
200401,基隆港,2571348,788014,1783334,2015223,744255,1270968,556125,43759,512366
200401,花蓮港,1601227,1304747,296480,200879,31335,169544,1400348,1273412,126936
200401,臺北港,565242,565242,0,565242,565242,0,0,0,0
200401,蘇澳港,362166,157948,204218,164435,35762,128673,197731,122186,75545
200401,安平港,225728,60884,164844,219598,58398,161200,6130,2486,3644
200402,國際商港,23935318,6638439,17296879,18030922,4382616,13648306,5904396,2255823,3648573
200402,高雄港,13970773,3004316,10966457,10592038,1966134,8625904,3378735,1038182,2340553
200402,臺中港,4676323,1102749,3573574,4219322,1052876,3166446,457001,49873,407128
200402,基隆港,2706156,767618,1938538,2056675,714095,1342580,649481,53523,595958
200402,花蓮港,1505344,1184429,320915,267193,111080,156113,1238151,1073349,164802
200402,臺北港,452698,442939,9759,452698,442939,9759,0,0,0
200402,蘇澳港,401921,71059,330862,229156,33909,195247,172765,37150,135615
200402,安平港,222103,65329,156774,213840,61583,152257,8263,3746,4517
200403,國際商港,24062759,7565483,16497276,17376406,4690520,12685886,6686353,2874963,3811390
200403,高雄港,13202126,3343327,9858799,9409419,2006718,7402701,3792707,1336609,2456098
200403,臺中港,4244313,1166794,3077519,3767932,1100105,2667827,476381,66689,409692
200403,基隆港,3272118,865882,2406236,2582953,806404,1776549,689165,59478,629687
200403,花蓮港,1762360,1412691,349669,279980,65661,214319,1482380,1347030,135350
200403,蘇澳港,678758,116101,562657,439147,55501,383646,239611,60600,179011
200403,臺北港,590652,586294,4358,590382,586024,4358,270,270,0
200403,安平港,312432,74394,238038,306593,70107,236486,5839,4287,1552
200404,國際商港,22205842,6858895,15346947,15609731,4117877,11491854,6596111,2741018,3855093
200404,高雄港,12108719,2821214,9287505,8434274,1656941,6777333,3674445,1164273,2510172
200404,臺中港,3993160,1004867,2988293,3474505,936498,2538007,518655,68369,450286
200404,基隆港,3146467,961132,2185335,2483133,891029,1592104,663334,70103,593231
200404,花蓮港,1829702,1444053,385649,268657,23407,245250,1561045,1420646,140399
200404,臺北港,515870,512317,3553,515036,511483,3553,834,834,0
200404,蘇澳港,307789,55912,251877,136660,42262,94398,171129,13650,157479
200404,安平港,304135,59400,244735,297466,56257,241209,6669,3143,3526
200405,國際商港,24688570,7660950,17027620,17703104,4677275,13025829,6985466,2983675,4001791
200405,高雄港,13066766,2988203,10078563,9180983,1705368,7475615,3885783,1282835,2602948
200405,臺中港,4490029,1313283,3176746,3904731,1230583,2674148,585298,82700,502598
